study,dataset,author,title,location,design,n,female,male,AL_mean,AL_sd,age_mean,age_sd,biometer,cyclo,ser_mean,ser_sd,emm_def,emm_code,quality
1,1,Hagen 2018,Prevalence and Possible Factors of Myopia in Norwegian Adolescents,norway,cs,120,NA,NA,23.51,0.75,16.7,0.9,iolmaster,y,0.18,0.23,-0.49 to 0.49,1,2
2,2,Bueno-Gimeno 2018,Variations of OCT measurements corrected for the magnification effect according to axial length and refractive error in children,spain,cs,99,NA,NA,23.12,0.79,11.88,2.97,iolmaster,y,0.34,0.41,-0.25 to +0.75,3,1
3,3,Aykut 2013,Influence of axial length on peripapillary retinal nerve fiber layer thickness in children: a study by RTVue spectral-domain optical coherence tomography.,turkey,cs,40,18,22,23.1,1,10.2,1.8,iolmaster,y,0.24,0,-0.25 to +0.50,2,3
4,4,Philip 2014,Influence of higher order aberrations and retinal image quality in myopisation of emmetropic eyes.,australia,long,125,NA,NA,23.45,0.68,12.65,0.49,iolmaster,y,0.2,0.23,-0.49 and +0.49,1,1
4,4,Philip 2014,Influence of higher order aberrations and retinal image quality in myopisation of emmetropic eyes.,australia,long,125,NA,NA,23.65,0.71,17.1,0.67,iolmaster,y,0.15,0.33,-0.49 and +0.49,1,1
5,5,Li 2015,Paraxial Schematic Eye Models for 7- and 14-Year-Old Chinese Children.,anyang,cs,318,133,184,23.23,0.62,7.1,0.4,lenstar,y,0.11,0.24,-0.49 and +0.49,1,2
6,5,Li 2016,"Corneal Power, Anterior Segment Length and Lens Power in 14-year-old Chinese Children: the Anyang Childhood Eye Study.",anyang,cs,327,149,178,23.78,0.75,13.68,0.48,lenstar,y,0.01,0.33,-0.50 to +0.50,1,2
7,6,Bulut 2016,"Associations between choroidal thickness, axial length and spherical equivalent in a paediatric population.",turkey,cs,64,36,28,23.2,0.8,10.9,3.4,lenstar,y,0,0.3,-0.50 to +0.50,1,2
8,7,Jin 2016,Choroidal and Retinal Thickness in Children With Different Refractive Status Measured by Swept-Source Optical Coherence Tomography.,shanghai,cs,91,32,59,23.25,0.72,9.85,1.19,iolmaster,y,0.18,0.26,-0.49 to +0.49,1,1
9,8,Li 2017,Subclinical Decrease in Central Inner Retinal Activity Is Associated With Myopia Development in Children.,hk,cs,56,29,27,23.14,0.6,7.63,0.46,iolmaster,y,0.19,0.33,-0.50 to +0.50,1,1
